,index,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,PavedDrive,SaleCondition,Electrical,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,GarageArea,GarageCars,BsmtHalfBath,BsmtFullBath,MasVnrArea,GarageYrBlt,LotFrontage,SaleType,Exterior1st,Exterior2nd,KitchenQual,Utilities,Functional,MSZoning,MasVnrType,BsmtFinType1,BsmtFinType2,BsmtExposure,BsmtQual,BsmtCond,GarageType,GarageFinish,GarageQual,GarageCond,FireplaceQu
12,13,20,12968,5,6,1962,1962,912,0,0,912,1,0,2,1,4,0,140,0,0,0,176,0,0,9,2008,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,737.0,0.0,175.0,912.0,352.0,1.0,0.0,1.0,0.0,1962.0,91.70626068115234,WD,HdBoard,Plywood,TA,AllPub,Typ,RL,None,ALQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
13,14,20,10652,7,5,2006,2007,1494,0,0,1494,2,0,3,1,7,1,160,33,0,0,0,0,0,8,2007,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Partial,SBrkr,0.0,0.0,1494.0,1494.0,840.0,3.0,0.0,0.0,306.0,2006.0,91.0,New,VinylSd,VinylSd,Gd,AllPub,Typ,RL,Stone,Unf,Unf,Av,Gd,TA,Attchd,RFn,TA,TA,Gd
14,15,20,10920,6,5,1960,1960,1253,0,0,1253,1,1,2,1,5,1,0,213,176,0,0,0,0,5,2008,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,733.0,0.0,520.0,1253.0,352.0,1.0,0.0,1.0,212.0,1960.0,85.99222564697266,WD,MetalSd,MetalSd,TA,AllPub,Typ,RL,BrkFace,BLQ,Unf,No,TA,TA,Attchd,RFn,TA,TA,Fa
15,16,45,6120,7,8,1929,2001,854,0,0,854,1,0,2,1,5,0,48,112,0,0,0,0,0,7,2007,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,TA,TA,BrkTil,GasA,Ex,Y,Y,Normal,FuseA,0.0,0.0,832.0,832.0,576.0,2.0,0.0,0.0,0.0,1991.0,51.0,WD,Wd Sdng,Wd Sdng,TA,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
16,17,20,11241,6,7,1970,1970,1004,0,0,1004,1,0,2,1,5,1,0,0,0,0,0,0,700,3,2010,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,578.0,0.0,426.0,1004.0,480.0,2.0,0.0,1.0,180.0,1970.0,53.30744171142578,WD,Wd Sdng,Wd Sdng,TA,AllPub,Typ,RL,BrkFace,ALQ,Unf,No,TA,TA,Attchd,Fin,TA,TA,TA
17,18,90,10791,4,5,1967,1967,1296,0,0,1296,2,0,2,2,6,0,0,0,0,0,0,0,500,10,2006,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,TA,TA,Slab,GasA,TA,Y,Y,Normal,SBrkr,0.0,0.0,0.0,0.0,516.0,2.0,0.0,0.0,0.0,1967.0,72.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RL,None,Unf,Unf,No,TA,TA,CarPort,Unf,TA,TA,Gd
18,19,20,13695,5,5,2004,2004,1114,0,0,1114,1,1,3,1,6,0,0,102,0,0,0,0,0,6,2008,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,646.0,0.0,468.0,1114.0,576.0,2.0,0.0,1.0,0.0,2004.0,66.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,None,GLQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
19,20,20,7560,5,6,1958,1965,1339,0,0,1339,1,0,3,1,6,0,0,0,0,0,0,0,0,5,2009,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Abnorml,SBrkr,504.0,0.0,525.0,1029.0,294.0,1.0,0.0,0.0,0.0,1958.0,70.0,COD,BrkFace,Plywood,TA,AllPub,Min1,RL,None,LwQ,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
20,21,60,14215,8,5,2005,2006,1158,1218,0,2376,3,1,4,1,9,1,240,154,0,0,0,0,0,11,2006,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Partial,SBrkr,0.0,0.0,1158.0,1158.0,853.0,3.0,0.0,0.0,380.0,2005.0,101.0,New,VinylSd,VinylSd,Gd,AllPub,Typ,RL,BrkFace,Unf,Unf,Av,Ex,TA,BuiltIn,RFn,TA,TA,Gd
21,22,45,7449,7,7,1930,1950,1108,0,0,1108,1,0,3,1,6,1,0,0,205,0,0,0,0,6,2007,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,N,Normal,FuseF,0.0,0.0,637.0,637.0,280.0,1.0,0.0,0.0,0.0,1930.0,57.0,WD,Wd Sdng,Wd Sdng,Gd,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
22,23,20,9742,8,5,2002,2002,1795,0,0,1795,2,0,3,1,7,1,171,159,0,0,0,0,0,9,2008,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,1777.0,1777.0,534.0,2.0,0.0,0.0,281.0,2002.0,75.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,BrkFace,Unf,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
23,24,120,4224,5,7,1976,1976,1060,0,0,1060,1,0,3,1,6,1,100,110,0,0,0,0,0,6,2007,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,Y,Normal,SBrkr,840.0,0.0,200.0,1040.0,572.0,2.0,0.0,1.0,0.0,1976.0,44.0,WD,CemntBd,CmentBd,TA,AllPub,Typ,RM,None,GLQ,Unf,No,Gd,TA,Attchd,Unf,TA,TA,TA
24,25,20,8246,5,8,1968,2001,1060,0,0,1060,1,0,3,1,6,1,406,90,0,0,0,0,0,5,2010,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,Gd,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,188.0,668.0,204.0,1060.0,270.0,1.0,0.0,1.0,0.0,1968.0,67.94341278076172,WD,Plywood,Plywood,Gd,AllPub,Typ,RL,None,Rec,ALQ,Mn,TA,TA,Attchd,Unf,TA,TA,TA
25,26,20,14230,8,5,2007,2007,1600,0,0,1600,2,0,3,1,7,1,0,56,0,0,0,0,0,7,2009,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,1566.0,1566.0,890.0,3.0,0.0,0.0,640.0,2007.0,110.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,Stone,Unf,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
26,27,20,7200,5,7,1951,2000,900,0,0,900,1,0,3,1,5,0,222,32,0,0,0,0,0,5,2010,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,234.0,486.0,180.0,900.0,576.0,2.0,1.0,0.0,0.0,2005.0,60.0,WD,Wd Sdng,Wd Sdng,Gd,AllPub,Typ,RL,None,BLQ,Rec,Mn,TA,TA,Detchd,Unf,TA,TA,Gd
27,28,20,11478,8,5,2007,2008,1704,0,0,1704,2,0,3,1,7,1,0,50,0,0,0,0,0,5,2010,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,1218.0,0.0,486.0,1704.0,772.0,3.0,0.0,1.0,200.0,2008.0,98.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,Stone,GLQ,Unf,No,Ex,TA,Attchd,RFn,TA,TA,Gd
28,29,20,16321,5,6,1957,1997,1600,0,0,1600,1,0,2,1,6,2,288,258,0,0,0,0,0,12,2006,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,1277.0,0.0,207.0,1484.0,319.0,1.0,0.0,1.0,0.0,1957.0,47.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RL,None,BLQ,Unf,Gd,TA,TA,Attchd,RFn,TA,TA,Gd
29,30,30,6324,4,6,1927,1950,520,0,0,520,1,0,1,1,4,0,49,0,87,0,0,0,0,5,2008,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,TA,TA,BrkTil,GasA,Fa,N,Y,Normal,SBrkr,0.0,0.0,520.0,520.0,240.0,1.0,0.0,0.0,0.0,1920.0,60.0,WD,MetalSd,MetalSd,Fa,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,Fa,TA,Gd
30,31,70,8500,4,4,1920,1950,649,668,0,1317,1,0,3,1,6,0,0,54,172,0,0,0,0,7,2008,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,TA,Fa,BrkTil,GasA,TA,N,N,Normal,SBrkr,0.0,0.0,649.0,649.0,250.0,1.0,0.0,0.0,0.0,1920.0,50.0,WD,BrkFace,BrkFace,TA,AllPub,Typ,C (all),None,Unf,Unf,No,TA,TA,Detchd,Unf,TA,Fa,Gd
31,32,20,8544,5,6,1966,2006,1228,0,0,1228,1,1,3,1,6,0,0,65,0,0,0,0,0,6,2008,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,Y,Normal,SBrkr,0.0,0.0,1228.0,1228.0,271.0,1.0,0.0,0.0,0.0,1966.0,62.0184326171875,WD,HdBoard,HdBoard,Gd,AllPub,Typ,RL,None,Unf,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
32,33,20,11049,8,5,2007,2007,1234,0,0,1234,2,0,3,1,7,0,0,30,0,0,0,0,0,1,2008,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,1234.0,1234.0,484.0,2.0,0.0,0.0,0.0,2007.0,85.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,None,Unf,Unf,Av,Ex,TA,Attchd,RFn,TA,TA,Gd
33,34,20,10552,5,5,1959,1959,1700,0,0,1700,1,1,4,1,6,1,0,38,0,0,0,0,0,4,2010,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,Gd,Y,Y,Normal,SBrkr,1018.0,0.0,380.0,1398.0,447.0,2.0,1.0,0.0,0.0,1959.0,70.0,WD,BrkFace,BrkFace,Gd,AllPub,Typ,RL,None,Rec,Unf,No,TA,TA,Attchd,RFn,TA,TA,Gd
34,35,120,7313,9,5,2005,2005,1561,0,0,1561,2,0,2,1,6,1,203,47,0,0,0,0,0,8,2007,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,1153.0,0.0,408.0,1561.0,556.0,2.0,0.0,1.0,246.0,2005.0,60.0,WD,MetalSd,MetalSd,Ex,AllPub,Typ,RL,BrkFace,GLQ,Unf,No,Ex,TA,Attchd,Fin,TA,TA,Gd
35,36,60,13418,8,5,2004,2005,1132,1320,0,2452,3,1,4,1,9,1,113,32,0,0,0,0,0,9,2006,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,1117.0,1117.0,691.0,3.0,0.0,0.0,132.0,2004.0,108.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,Stone,Unf,Unf,Av,Ex,TA,BuiltIn,Fin,TA,TA,Gd
36,37,20,10859,5,5,1994,1995,1097,0,0,1097,1,1,3,1,6,0,392,64,0,0,0,0,0,6,2009,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,1097.0,1097.0,672.0,2.0,0.0,0.0,0.0,1995.0,112.0,WD,VinylSd,VinylSd,TA,AllPub,Typ,RL,None,Unf,Unf,No,Gd,TA,Attchd,Unf,TA,TA,Gd
37,38,20,8532,5,6,1954,1990,1297,0,0,1297,1,0,3,1,5,1,0,0,0,0,0,0,0,10,2009,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,Gd,Y,Y,Normal,SBrkr,1213.0,0.0,84.0,1297.0,498.0,2.0,1.0,0.0,650.0,1954.0,74.0,WD,Wd Sdng,Wd Sdng,TA,AllPub,Typ,RL,BrkFace,Rec,Unf,No,TA,TA,Attchd,Fin,TA,TA,TA
38,39,20,7922,5,7,1953,2007,1057,0,0,1057,1,0,3,1,5,0,0,52,0,0,0,0,0,1,2010,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,Y,Abnorml,SBrkr,731.0,0.0,326.0,1057.0,246.0,1.0,0.0,1.0,0.0,1953.0,68.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,None,GLQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
39,40,90,6040,4,5,1955,1955,1152,0,0,1152,2,0,2,2,6,0,0,0,0,0,0,0,0,6,2008,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,TA,TA,PConc,GasA,TA,N,N,AdjLand,FuseP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957.1834716796875,65.0,WD,AsbShng,Plywood,Fa,AllPub,Typ,RL,None,Unf,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
40,41,20,8658,6,5,1965,1965,1324,0,0,1324,2,0,3,1,6,1,0,138,0,0,0,0,0,12,2006,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Abnorml,SBrkr,643.0,0.0,445.0,1088.0,440.0,2.0,0.0,0.0,101.0,1965.0,84.0,WD,Wd Sdng,Wd Sdng,TA,AllPub,Typ,RL,BrkFace,Rec,Unf,No,TA,TA,Attchd,RFn,TA,TA,TA
41,42,20,16905,5,6,1959,1959,1328,0,0,1328,1,1,2,1,5,2,0,104,0,0,0,0,0,7,2007,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,Gd,CBlock,GasA,Gd,Y,P,Normal,SBrkr,967.0,0.0,383.0,1350.0,308.0,1.0,1.0,0.0,0.0,1959.0,115.0,WD,VinylSd,VinylSd,TA,AllPub,Typ,RL,None,BLQ,Unf,Gd,TA,TA,Attchd,RFn,TA,TA,Gd
42,43,85,9180,5,7,1983,1983,884,0,0,884,1,0,2,1,5,0,240,0,0,0,0,0,0,12,2007,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,Y,Normal,SBrkr,747.0,93.0,0.0,840.0,504.0,2.0,0.0,1.0,0.0,1983.0,50.30105209350586,WD,HdBoard,HdBoard,Gd,AllPub,Typ,RL,None,ALQ,LwQ,Av,Gd,TA,Attchd,RFn,TA,Gd,Gd
43,44,20,9200,5,6,1975,1980,938,0,0,938,1,0,3,1,5,0,145,0,0,0,0,0,0,7,2008,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,280.0,491.0,167.0,938.0,308.0,1.0,0.0,1.0,0.0,1977.0,52.00824737548828,WD,VinylSd,VinylSd,TA,AllPub,Typ,RL,None,LwQ,BLQ,Av,Gd,TA,Detchd,Unf,TA,TA,Gd
44,45,20,7945,5,6,1959,1959,1150,0,0,1150,1,0,3,1,6,0,0,0,0,0,0,0,0,5,2006,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,FuseA,179.0,506.0,465.0,1150.0,300.0,1.0,0.0,1.0,0.0,1959.0,70.0,WD,BrkFace,Wd Sdng,TA,AllPub,Typ,RL,None,ALQ,BLQ,No,TA,TA,Attchd,RFn,TA,TA,Gd
45,46,120,7658,9,5,2005,2005,1752,0,0,1752,2,0,2,1,6,1,196,82,0,0,0,0,0,2,2010,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,456.0,0.0,1296.0,1752.0,576.0,2.0,0.0,1.0,412.0,2005.0,61.0,WD,MetalSd,MetalSd,Ex,AllPub,Typ,RL,BrkFace,GLQ,Unf,No,Ex,TA,Attchd,RFn,TA,TA,Gd
46,47,50,12822,7,5,2003,2003,1518,631,0,2149,1,1,1,1,6,1,168,43,0,0,198,0,0,8,2009,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Abnorml,SBrkr,1351.0,0.0,83.0,1434.0,670.0,2.0,0.0,1.0,0.0,2003.0,48.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,None,GLQ,Unf,No,Ex,TA,Attchd,RFn,TA,TA,Ex
47,48,20,11096,8,5,2006,2006,1656,0,0,1656,2,0,3,1,7,0,0,146,0,0,0,0,0,7,2007,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,24.0,0.0,1632.0,1656.0,826.0,3.0,0.0,0.0,0.0,2006.0,84.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,FV,None,GLQ,Unf,Av,Gd,TA,Attchd,RFn,TA,TA,Gd
